id	comentario	data	autor	dominio	avaliacao_dominio	estrelas	avaliacao_conceitual
1	Estava meio receoso em realção ao tamanho do aparelho, mas depois de 2 horas com ele já nem lembrava mais disso... rsrsrs. Recomendo o Galaxy S3 a todos. A qualidade e funcionabilidade compensa cada centavo gasto.	2013-10-01 00:00:00	e-bit	buscape		5	BM
2	Os telefones celulares foram evoluindo de uma forma muito rápida. Cada vez mais com funções,que ajudam no nosso dia-a-dia. Tudo que nós precisarmos está a apenas um clique,pagar contas,registrar momentos,	2013-09-29 00:00:00	aline barreto	buscape		4	IF
3	eu tenho ser tesa que esse produto tem uma boa qualidade	2013-09-28 00:00:00	flavianny	buscape		5	SF
4	Já tive um galaxy s3, porém ao viajar nas férias fui roubada, então resolvi comprar outro devido seus benefícios, e estou muito satisfeita, pretendo adquirir no final do ano o galaxy s4.	2013-09-26 00:00:00	bianca	buscape		5	SF
5	APARELHO RAPIDO BATERIA DURAVEL BOA DURABILIDADE	2013-09-26 00:00:00	e-bit	buscape		5	IF
6	Até o momento a experiência com o aparelho tem sido muito boa.	2013-09-26 00:00:00	e-bit	buscape		5	SF
7	Um dos melhores Smartfones do mercado, com um processador muito poderoso que não se diferencia so deu irmão mais velho Galaxy s4. Suas características são muito boas em visto outros Smartfones como: S Beam, Allshare Cast dentre outros. como tenho o produto posso falar que o processador e muito bom, mas com a ultima atualização da samsung o galaxy s3 venha a dar algumas ''Travadinhas'' Mais a Samsung avisou que o erro sera reparado na próxima atualização do android que como rumores sera liberada para o s3 e o s4 em outubro, assim igualando mais ainda o galaxy s3 com o galaxy s4. intão por custo e beneficio acho esse Smartfone uns dos melhores para se comprar HOJE.	2013-09-25 00:00:00	pedro	buscape		4	SF
8	facil de usar rapido baixa rapido camera 8.0 perfeita som otimo	2013-09-25 00:00:00	jordana	buscape		5	IF
9	TER UM CELULAR DESSE É MUITO MANERO FAZ TUDO QUE VOCÊ QUISER!!!!!NAO TEM MELHOR!!!	2013-09-24 00:00:00	railtonramos	buscape		5	IF
10	esse celular é ótimo tenho ele desdo final de 2012 até hoje n apresentou nem um defeito. camera boa a memoria boa etc.. bom recomendo esse smartphone, pode comprar é otimo!!	2013-09-24 00:00:00	ezequiel de brito...	buscape		5	SF
11	Ótimo produto,quando comprei,comprei mais porque era novidade todo mundo estava comprando, quando comecei a usar o aparelho amei,faço tudo com o celular,nem uso mais meu notebook,é ótimo para baixar aplicativos,faço compras pela internet via celular,com os aplicativos consigo pagar minhas contas,consigo baixar minhas músicas preferidas e baixar fotos também,e é muito bom para tirar fotos e gravar vídeos,uso e adoro e recomendo,quem comprar não vai se arrepender. Comprem vocês não vão se arrepender e quem tem não quer ter outro!	2013-09-24 00:00:00	mariane silva porte	buscape		5	SF
12	O aparelho esta sendo usado pela minha esposa que só tem elogios ao telefone.	2013-09-24 00:00:00	e-bit	buscape		5	IF
13	Quando decidi comprar um smartphone pesquisei os top de linha e o galaxy s3 foi o que teve o melhor custo benefício. Este é meu primeiro smartphone e ainda assim não tive dificuldades pra usá-lo, a interface é super intuitiva e fácil. O design é espetacular e a tela gorila glass é show, tenho visto outras marcas de smartphone que com pouco tempo de uso já ficam com a tela toda riscada. A bateria tem uma boa duração, tenho amigos que parece que o cabo de energia faz parte do smartphone. Prós: A quantidade de memoria é suficiente para rodar jogos, vídeos e aplicações sem travar. Qualidade comprovada da samsung. Imagens de alta qualidade. Leve e prático. Se você não abusar de apps pesados a bateria dura de 3 a 4 dias. Na verdade acho esse tempo ótimo para a média atual de outras marcas. Uma coisa que não vejo sendo mencionada e acho que é comum é o celular vir personalizado com ícones de operadoras e tals, eu reinstalei o sistema operaciona original da samsung e foi super rápido e simples, fiz tudo pelo Kies, aplicativo da própria samsung. Contas: As quedas podem ser um problema, então tenha cuidado redobrado. :)	2013-09-24 00:00:00	carlos eduardo si...	buscape		5	PL
14	Ótimo aparelho,seu design é moderno e este aparelho atende as minhas necessidades. Ótima resolução de câmera e aparelho de fácil utilização com vários aplicativos. Acessível em qualquer lugar com bom sinal de conexão e excelente para distração e atividades lúdicas. Recomendo!!!!!!	2013-09-24 00:00:00	vanuzasouzagomes	buscape		5	PL
